公司,类型,岗位,部门,城市,批次,发布时间,投递链接
快手,应用,大模型 AI Agent 开发工程师,-,杭州/北京,2027届校招,2026-08-09,https://campus.kuaishou.cn/recruit/campus/e/#/campus/job-info/13091
快手,应用,AI Agent 全栈工程师-音视频方向,-,北京,2027届校招,2026-08-09,https://campus.kuaishou.cn/recruit/campus/e/#/campus/job-info/13145
快手,应用,大模型系统开发工程师,-,北京,2027届校招,2026-08-09,https://campus.kuaishou.cn/recruit/campus/e/#/campus/job-info/13157
快手,应用,AI应用开发工程师,-,杭州/北京,2027届校招,2026-08-09,https://campus.kuaishou.cn/recruit/campus/e/#/campus/job-info/13150
快手,应用,AI应用服务端开发工程师,-,北京,2027届校招,2026-08-09,https://campus.kuaishou.cn/recruit/campus/e/#/campus/job-info/13115
蚂蚁集团,应用,FDE AI训练师,-,北京/上海/杭州/成都,2027届校招,2026-08-13,https://talent.antgroup.com/campus-position?positionId=260813011411357
蚂蚁集团,应用,智能体与大模型应用工程,-,北京/上海/杭州/广州/深圳/重庆/成都,2027届校招,2026-07-22,https://talent.antgroup.com/campus-position?positionId=260721011006030
蚂蚁集团,应用,智能体与大模型应用工程（金融研究方向）,-,杭州,2027届校招,2026-07-22,https://talent.antgroup.com/campus-position?positionId=260721011000113
蚂蚁集团,应用,Agent基础设施工程,-,北京/上海,2027届校招,2026-07-22,https://talent.antgroup.com/campus-position?positionId=260721010986440
美团,应用,AI Agent开发工程师,-,北京市/上海市/成都市/深圳市,2027届校招,-,https://zhaopin.meituan.com/web/position/detail?jobUnionId=4697317646&highlightType=campus
美团,应用,AI全栈工程师,-,北京市/上海市/成都市/深圳市,2027届校招,-,https://zhaopin.meituan.com/web/position/detail?jobUnionId=4697320043&highlightType=campus
美团,应用,AI后端开发工程师,-,北京市/上海市/成都市,2027届校招,-,https://zhaopin.meituan.com/web/position/detail?jobUnionId=4697280304&highlightType=campus
美团,应用,AI应用开发工程师,-,北京市/上海市,2027届校招,-,https://zhaopin.meituan.com/web/position/detail?jobUnionId=4694862735&highlightType=campus
米哈游,应用,基础研究-游戏AI研发工程师（Agent方向）,程序&技术类,上海,2027届校招,-,https://jobs.mihoyo.com/#/campus/position/8925
米哈游,应用,平台研发-后端开发工程师（AI 应用方向）,程序&技术类,上海,2027届校招,-,https://jobs.mihoyo.com/#/campus/position/9250
商汤,应用,【27届校招】AI开发工程师-SCG,-,上海,2027届校招,2026-07-08,https://hr-jobs.sensetime.com/edu/position/7660086799842216230/detail
商汤,应用,【27届校招】AI开发工程师-SCG,-,深圳,2027届校招,2026-07-08,https://hr-jobs.sensetime.com/edu/position/7660082828068030726/detail
商汤,应用,【27届校招】AI开发工程师-SCG,-,武汉,2027届校招,2026-07-08,https://hr-jobs.sensetime.com/edu/position/7660080272546236723/detail
商汤,应用,【27届校招】Agent全栈开发工程师-大装置,-,北京/上海,2027届校招,2026-07-07,https://hr-jobs.sensetime.com/edu/position/7659616422645369139/detail
商汤,应用,【27届校招】Agent开发工程师,-,北京/上海/深圳,2027届校招,2026-07-06,https://hr-jobs.sensetime.com/edu/position/7659330461617178916/detail
商汤,应用,【27届校招】智能体研发-亚太业务事业群,-,深圳,2027届校招,2026-07-06,https://hr-jobs.sensetime.com/edu/position/7659253281403078975/detail
腾讯,应用,Agent开发工程师,CDG CSIG IEG PCG TEG WXG,深圳总部/北京/上海/广州/成都,2027届校招,-,https://join.qq.com/post_detail.html?postid=1282707395466077184
腾讯,应用,AI全栈工程师,CDG CSIG IEG PCG TEG WXG,深圳总部/北京/上海/广州/成都/杭州,2027届校招,-,https://join.qq.com/post_detail.html?postid=1282707398326592512
腾讯,应用,AI应用工程师,CDG CSIG IEG PCG TEG WXG,深圳总部/北京/上海/广州/成都,2027届校招,-,https://join.qq.com/post_detail.html?postid=1282707395466077185
腾讯,应用,财经线培训生-AI应用开发,S2,深圳总部,2027届校招,-,https://join.qq.com/post_detail.html?postid=1284634302709277696
腾讯音乐,应用,Agent开发工程师,集团部门，QQ音乐，酷狗音乐，长音频，内容,深圳市/北京市/广州市,2027届校招,2天前,https://join.tencentmusic.com/campus/post-details?id=15038
腾讯音乐,应用,AI全栈工程师,集团部门，QQ音乐，酷狗音乐，长音频，内容,深圳市/北京市/广州市,2027届校招,2天前,https://join.tencentmusic.com/campus/post-details?id=15037
腾讯音乐,应用,AI应用工程师,集团部门，QQ音乐，酷狗音乐，长音频，内容,深圳市/北京市/广州市,2027届校招,2天前,https://join.tencentmusic.com/campus/post-details?id=15039
网易互娱,应用,AI Agent工程师（游戏研发方向）,游戏程序,杭州/上海/广州,2027届校招,2026-08-06,https://campus.game.163.com/app/detail/index?id=4732&projectId=102
网易互娱,应用,AI Agent工程师（引擎方向）,技术,杭州/广州,2027届校招,2026-07-27,https://campus.game.163.com/app/detail/index?id=4755&projectId=102
网易互娱,应用,AI应用工程师,技术,广州,2027届校招,2026-07-27,https://campus.game.163.com/app/detail/index?id=4756&projectId=102
小米,应用,Agent Harness 研发工程师,生态链,武汉/北京,2027届校招,2026-08-11,https://xiaomi.jobs.f.mioffice.cn/campus/position/7671284471720020243/detail
小米,应用,Agent工程师,生态链,武汉/北京,2027届校招,2026-08-11,https://xiaomi.jobs.f.mioffice.cn/campus/position/7670928909127223588/detail
小米,应用,AI Agent开发工程师-汽车,生态链,南京,2027届校招,2026-08-11,https://xiaomi.jobs.f.mioffice.cn/campus/position/7670914994071046451/detail
小米,应用,OS软件工程师（AI Agent方向）,生态链,北京,2027届校招,2026-08-11,https://xiaomi.jobs.f.mioffice.cn/campus/position/7671295351281731850/detail
小米,应用,AI Agent开发工程师-Java方向,生态链,北京/深圳,2027届校招,2026-08-11,https://xiaomi.jobs.f.mioffice.cn/campus/position/7670885684991281471/detail
小米,应用,AI属性工程师-汽车,生态链,南京,2027届校招,2026-08-11,https://xiaomi.jobs.f.mioffice.cn/campus/position/7670918768222570803/detail
小米,应用,AIOS 开发工程师,生态链,南京,2027届校招,2026-08-11,https://xiaomi.jobs.f.mioffice.cn/campus/position/7670892428991269146/detail
小米,应用,AI研发工程师,生态链,北京,2027届校招,2026-08-11,https://xiaomi.jobs.f.mioffice.cn/campus/position/7670891807970576686/detail
小米,应用,基础架构研发工程师,生态链,北京,2027届校招,2026-08-11,https://xiaomi.jobs.f.mioffice.cn/campus/position/7671289721684068650/detail
月之暗面,应用,校招研发：Backend Developer (Golang),-,北京市,2027届校招,2025-07-23,https://app.mokahr.com/campus-recruitment/moonshot/148507#/job/6660804b-a448-495d-bcb3-42d36d8df2f8
字节跳动,应用,Agent基础系统研发工程师 - 火山方舟,-,上海/北京/杭州/深圳,2027届校招,2026-08-03,https://jobs.bytedance.com/campus/position/7669725958044518661/detail
字节跳动,应用,Agent开发工程师 - AI Platform,-,上海/北京,2027届校招,2026-07-29,https://jobs.bytedance.com/campus/position/7667885791859837237/detail
字节跳动,应用,AI应用工程师（Agent方向） - 抖音直播,-,深圳/北京,2027届校招,2026-07-29,https://jobs.bytedance.com/campus/position/7667851701248739637/detail
字节跳动,应用,大模型应用开发工程师（AI Coding方向） - AI Platform,-,上海/杭州,2027届校招,2026-07-29,https://jobs.bytedance.com/campus/position/7667887564768643333/detail
字节跳动,应用,AI应用开发工程师 - AI Platform,-,深圳/上海,2027届校招,2026-07-29,https://jobs.bytedance.com/campus/position/7667953284506077445/detail
字节跳动,应用,AI应用工程师（Agent方向） - 抖音直播,-,深圳/北京/广州,2027届校招,2026-07-27,https://jobs.bytedance.com/campus/position/7667137498080512261/detail
字节跳动,应用,LLM Agent开发工程师 - TRAE,-,北京/上海/深圳/杭州,2027届校招,2026-07-27,https://jobs.bytedance.com/campus/position/7667152802128922885/detail
DeepSeek,应用,Agent Harness 团队,-,浙江/北京市,社招(无校招批次),2026-06-25,https://app.mokahr.com/social-recruitment/high-flyer/140576#/job/8d40c764-d2b2-49b1-826c-e3f2adb75c01
OPPO,应用,AI Agent 研发工程师（研发效能方向）,-,深圳市,2027届校招,2026-07-15,https://careers.oppo.com/university/oppo/campus/post/1850
OPPO,应用,AI工程师（AI Agent方向）,-,成都市/深圳市,2027届校招,2026-07-15,https://careers.oppo.com/university/oppo/campus/post/1821
OPPO,应用,IT开发工程师（AI应用方向）,-,东莞市,2027届校招,2026-07-15,https://careers.oppo.com/university/oppo/campus/post/1807
OPPO,应用,全栈开发工程师,-,成都市/深圳市,2027届校招,2026-07-15,https://careers.oppo.com/university/oppo/campus/post/1810
